水仙花数,2,输出最近的水仙花数,流程控制-循环|变量和运算符-运算符,RUNOOB,0,null
杨辉三角,3,输出前n行的杨辉三角,字符串-格式化|函数-生成器,RUNOOB,0,null
成绩等级判断,2,根据方案对成绩进行分级,字符串-字符编码-编码解码|流程控制-条件判断,MOOCTEST,0,null
简单排序,1,给三个数排序,流程控制-条件判断,RUNOOB,0,null
进制转换,2,将八进制数转为十进制,流程控制-循环,MOOCTEST,0,null
时间戳格式化,简单题目描述,0,知识点,匿名,0,null
Weekday,1,判断是周几,datetime,谢子聪,0,null
时间差,2,计算两个日期之间相差多少天和小时,datetime,谢子聪,0,null
是第几天,1,计算某一天是该年的第几天,datetime,谢子聪,0,null
最小公倍数,1,求两个数的最小公倍数,math,MOOCTEST,0,null
最大公约数,1,求两个数的最大公约数,math,MOOCTEST,0,null
创建随机数,1,使用random模块生成随机数,random-uniform()|random-seed(),RUNOOB,0,null
统计元素出现次数,2,使用 random 生成随机数列并统计每个数的出现次数,random-seed()|random-randint()|collections-Counter,MOOCTEST,0,null
我也想拥有姓名,2,命名元组的使用,collections-namedtuple,谢子聪,0,null
合并配置项,2,使用ChainMap来合并配置项,collections-ChainMap,谢子聪,0,null
统计字符出现次数,3,统计每个字符的出现次数并降序输出,字符串-内置函数-count()|collections-Counter|functools,MOOCTEST,0,null
自定义列表,简单题目描述,0,知识点,匿名,0,null
水果出售记录,3,帮店老板统计每个水果卖出了多少,collections-Counter|列表-内置函数-sort()|functools-cmp_to_key,MOOCTEST,0,null
滑动窗口求区间最大值,2,使用双向队列求滑动窗口区间最大值,collections-deque,谢子聪,0,null
统计数字次数,2,统计一串数字中每个数字的出现次数,collections-Counter,MOOCTEST,0,null
正则表达式匹配的应用,简单题目描述,0,知识点,匿名,0,null
正则表达式的综合运用,简单题目描述,0,知识点,匿名,0,null
正则表达式的match函数,简单题目描述,0,知识点,匿名,0,null
正则表达式中sub函数的使用2,简单题目描述,0,知识点,匿名,0,null
正则表达式的sub函数,简单题目描述,0,知识点,匿名,0,null
正则表达式的search函数,简单题目描述,0,知识点,匿名,0,null
正则表达式中的findall函数,简单题目描述,0,知识点,匿名,0,null
