题目名,简单题目描述,难度,知识点,作者,慕码ID,题目文件夹
桃子问题,有一些猴子分桃子，求原来最少有多少个桃子,2,数学问题,MOOCTEST,1702,Algorithms/Math/24_Peach
比赛名单,已知一些比赛信息，找出比赛的名单,3,数学问题-逻辑判断|流程控制-条件判断,RUNOOB,1682,Algorithms/Math/22_CompetitionList
计算方程的根,给定二元一次方程的三个参数，求根,1,数学问题,MOOCTEST,1679,Algorithms/Math/85_TheRootOfEquation
素数判断,判断一个数是否是素数,2,数学问题,RUNOOB,1714,Algorithms/Math/12_JudgePrime
变态超级楼梯,你可以任意走上n级台阶，求走上n级台阶的不同走法,2,数学问题,MOOCTEST,1700,Algorithms/Math/44_SuperStairs
阶乘除法,将整数 k 分解为k=n!/m! 的形式,3,数学问题,匿名,1710,Algorithms/Math/39_FactorialDivision
默尼森数,满足 M=2^p-1 的素数 M,3,数学问题-常见数列,MOOCTEST,1697,Algorithms/Math/68_MonisenNum
分数序列求和,计算一个分数数列的前n项和,2,数学问题,MOOCTEST,1672,Algorithms/Math/106_FractionalSummation
判断素数,判断一个数是否为素数,2,数学问题,匿名,1704,Algorithms/Math/2_Prime
完全平方数,一个整数加上某个数后是完全平方数，再加上一个数后还是安全平方数，求这个数,3,数学问题,RUNOOB,1677,Algorithms/Math/3_PerfectSquareNum
分拆素数和,将一个偶数分拆成两个素数的不同方法,3,数学问题,MOOCTEST,1711,Algorithms/Math/37_SplitPrimes
百钱买百鸡,给你一百元买一百只鸡，有多少种买法？,2,数学问题,MOOCTEST,1683,Algorithms/Math/21_Dollars2Chickens
逆解最大公约数与最小公倍数,给你一个最大公约数和最小公倍数，要你求一组数,3,数学问题,MOOCTEST,Unknown,Algorithms/Math/26_InverseGCD&LCM
排队,n个人排队，给出所有可能队形的数量,3,数学问题,MOOCTEST,1687,Algorithms/Math/97_Queue
角谷猜想,输出角谷猜想的演算过程,2,字符串-格式化|流程控制|数学问题,MOOCTEST,1701,Algorithms/Math/96_KakuguConjecture
自由落体,模拟小球的自由落体,2,数学问题|流程控制-循环,MOOCTEST,1681,Algorithms/Math/65_FreeFalling
组合数的奇偶性,求组合数的奇偶性,2,数学问题-组合数学,MOOCTEST,1709,Algorithms/Math/34_ParityCombination
奇数的个数,求使用 0~n 所能组成的奇数的个数,3,数学问题|排列组合,MOOCTEST,1684,Algorithms/Math/23_OddNum
数字组成,给你一个整数数列，求能够组成不同两位数的个数,3,数学问题-组合数学,MOOCTEST,1708,Algorithms/Math/59_NumComposition
统计有特征整数的和,被3除余1并且被5除余3的所有整数的和,1,数学问题|流程控制-循环,匿名,1699,Algorithms/Math/94_SumCharacteristicIntegers
读取和输出几个数据,一行中多个数据的读取和输出,1,输入输出|类型转换|字符串-格式化,谢子聪,2785/1517,BasicGrammar/IO/2_SomeData
读取和输出多行多列数据,矩阵和不定长数组的读取和输出,3,输入输出|流程控制-循环|矩阵|高阶函数|流程控制-异常处理,谢子聪,2785/1520,BasicGrammar/IO/5_Matrix
HelloWorld,输出 Hello World,1,输入输出,匿名,2785/1515,BasicGrammar/IO/0_HelloWorld
读取和输出Python格式的数据,Python数据类型数据的读取和输出,1,输入输出|编译执行,谢子聪,2785/1521,BasicGrammar/IO/6_PythonIO
读取和输出一个数组,一行数组的读取和输出,2,输入输出|列表生成器|高阶函数|字符串-格式化|内置全局函数-可迭代对象,谢子聪,2785/1518,BasicGrammar/IO/3_DataList
读取和输出一个数据,类型转换的读取和输出,1,输入输出|类型转换|字符串-格式化,谢子聪,2785/1516,BasicGrammar/IO/1_BasicType
读取和输出多行数据,多行数据的读取和输出,2,输入输出|流程控制-循环|流程控制-异常处理,谢子聪,2785/1519,BasicGrammar/IO/4_MultiLine
判断天数,计算日期是该年的第几天,2,流程控制|日期时间,RUNOOB,2788/1540,BasicGrammar/Control/4_JudgeDayNum
统计得分,根据一定规则统计字符得分,2,字符串-遍历|流程控制-循环,MOOCTEST,2788/1545,BasicGrammar/Control/60_PointsStatistics
求阶乘和,求前 n 个树每个数的阶乘和,2,数值运算|流程控制-循环,匿名,1690,BasicGrammar/Control/99_SeekFactorSum
进制转换,将八进制数转为十进制,2,流程控制|进制转换|数值运算,MOOCTEST,2788/1543,BasicGrammar/Control/19_Conversion
几个九,给定一个数字，问多少个9组成的数字能够被整除,1,数值运算|流程控制,RUNOOB,2788/1535,BasicGrammar/Control/85_NumberofNine
累加,计算1~n的累加和,1,数学问题|数值运算,MOOCTEST,1675,BasicGrammar/Control/89_Accumulate
